direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,FR 6104,RYR6104,Expected,IsOperator,False,Ryanair,FR,RYR,SP-RKQ,48C139,Boeing 737-800,,,,,,,,Newcastle upon Tyne,NCL,EGNT,,,,,,,Europe/London,2025-05-08 12:35Z,2025-05-08 13:35+01:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-08 14:40Z,2025-05-08 16:40+02:00,2025-05-08 15:00Z,2025-05-08 17:00+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1662,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A320,,,,,,,,Dortmund,DTM,EDLW,,,,,,,Europe/Berlin,2025-05-08 14:40Z,2025-05-08 16:40+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-08 15:05Z,2025-05-08 17:05+02:00,2025-05-08 15:01Z,2025-05-08 17:01+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 533,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Londyn Stansted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-08 15:05Z,2025-05-08 17:05+02:00,2025-05-08 15:05Z,2025-05-08 17:05+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 237,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Kraków,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-08 15:25Z,2025-05-08 17:25+02:00,2025-05-08 15:17Z,2025-05-08 17:17+02:00,,,,,,,,,,"Basic,Live"
arrival,LO 3815,LOT81L,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LIM,48AD0C,Embraer 175,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-08 14:45Z,2025-05-08 16:45+02:00,2025-05-08 14:45Z,2025-05-08 16:45+02:00,,,2025-05-08 15:38Z,2025-05-08 17:38+02:00,E-D,241-280,23,,29,"Basic,Live",,,,,,,,,,,2025-05-08 15:40Z,2025-05-08 17:40+02:00,2025-05-08 15:28Z,2025-05-08 17:28+02:00,,,,,,,,,,"Basic,Live"
arrival,KL 1307,KLM1307,Arrived,IsOperator,False,KLM,KL,KLM,PH-EXB,485084,Embraer 190,,,,,,,,Amsterdam,AMS,EHAM,,,,,,,Europe/Amsterdam,2025-05-08 14:05Z,2025-05-08 16:05+02:00,2025-05-08 14:07Z,2025-05-08 16:07+02:00,,,2025-05-08 14:24Z,2025-05-08 16:24+02:00,1,6-8,B3,,36L,"Basic,Live",,,,,,,,,,,2025-05-08 15:45Z,2025-05-08 17:45+02:00,2025-05-08 15:45Z,2025-05-08 17:45+02:00,,,,,,,,,,"Basic,Live"
arrival,LH 1380,,Arrived,IsOperator,False,Lufthansa,LH,DLH,,,Bombardier CRJ1000,,,,,,,,Frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-08 15:30Z,2025-05-08 17:30+02:00,2025-05-08 15:50Z,2025-05-08 17:50+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 1897,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Neapol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-08 16:25Z,2025-05-08 18:25+02:00,2025-05-08 16:23Z,2025-05-08 18:23+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 3520,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Brindisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-08 17:00Z,2025-05-08 19:00+02:00,2025-05-08 16:30Z,2025-05-08 18:30+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1676,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-08 16:40Z,2025-05-08 18:40+02:00,2025-05-08 16:34Z,2025-05-08 18:34+02:00,,,,,,,,,,"Basic,Live"
