direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,FR 3052,RYR17XX,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RNF,48C1A5,Boeing 737,,,,,,,,Souda,CHQ,LGSA,,,,,,,Europe/Athens,2025-05-14 18:00Z,2025-05-14 21:00+03:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-14 20:50Z,2025-05-14 22:50+02:00,2025-05-15 20:52Z,2025-05-15 22:52+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 6360,RYR29PY,Arrived,IsOperator,False,Ryanair,FR,RYR,EI-DPZ,4CA565,Boeing 737,,,,,,,,Liverpool,LPL,EGGP,,,,,,,Europe/London,2025-05-14 18:45Z,2025-05-14 19:45+01:00,2025-05-14 18:53Z,2025-05-14 19:53+01:00,,,2025-05-14 18:53Z,2025-05-14 19:53+01:00,,,,,09,"Basic,Live",,,,,,,,,,,2025-05-14 21:15Z,2025-05-14 23:15+02:00,2025-05-15 21:04Z,2025-05-15 23:04+02:00,,,,,,,,,,"Basic,Live"
arrival,RK 2141,RUK2393,Arrived,IsOperator,False,Ryanair UK,RK,RUK,EI-EVN,4CA9EB,Boeing 737-800,,,,,,,,Manchester,MAN,EGCC,,,,,,,Europe/London,2025-05-14 16:50Z,2025-05-14 17:50+01:00,2025-05-14 18:48Z,2025-05-14 19:48+01:00,,,2025-05-14 19:12Z,2025-05-14 20:12+01:00,3,,56,,05L,"Basic,Live",,,,,,,,,,,2025-05-14 19:20Z,2025-05-14 21:20+02:00,2025-05-15 21:28Z,2025-05-15 23:28+02:00,,,,,,,,,25,"Basic,Live"
arrival,FR 3436,RYR5MV,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RNK,48C1A9,Boeing 737-800,,,,,,,,Beauvais/Tillé,BVA,LFOB,,,,,,,Europe/Paris,2025-05-14 19:25Z,2025-05-14 21:25+02:00,2025-05-14 19:48Z,2025-05-14 21:48+02:00,,,2025-05-14 19:48Z,2025-05-14 21:48+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-14 21:35Z,2025-05-14 23:35+02:00,2025-05-15 21:39Z,2025-05-15 23:39+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 6311,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737,,,,,,,,Torp,TRF,ENTO,,,,,,,Europe/Oslo,2025-05-14 19:45Z,2025-05-14 21:45+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-14 21:50Z,2025-05-14 23:50+02:00,2025-05-15 21:51Z,2025-05-15 23:51+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 2072,WZZ976,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WNC,4D2529,Airbus A320,,,,,,,,Nice,NCE,LFMN,,,,,,,Europe/Paris,2025-05-14 18:45Z,2025-05-14 20:45+02:00,2025-05-14 20:13Z,2025-05-14 22:13+02:00,,,2025-05-14 20:13Z,2025-05-14 22:13+02:00,2,,,,,"Basic,Live",,,,,,,,,,,2025-05-14 20:50Z,2025-05-14 22:50+02:00,2025-05-15 21:55Z,2025-05-15 23:55+02:00,,,2025-05-14 21:55Z,2025-05-14 23:55+02:00,,,,,,"Basic,Live"
arrival,OS 599,AUA599,Arrived,IsOperator,False,Austrian,OS,AUA,SE-MKK,4AB56B,ATR 72,,,,,,,,Vienna,VIE,LOWW,,,,,,,Europe/Vienna,2025-05-15 20:30Z,2025-05-15 22:30+02:00,2025-05-15 20:56Z,2025-05-15 22:56+02:00,,,2025-05-15 20:57Z,2025-05-15 22:57+02:00,3,351-372,F24,,29,"Basic,Live",,,,,,,,,,,2025-05-15 21:40Z,2025-05-15 23:40+02:00,2025-05-15 22:00Z,2025-05-16 00:00+02:00,,,,,,,,,,"Basic,Live"
arrival,OS 599,AUA599,Arrived,IsOperator,False,Austrian,OS,AUA,SE-MKK,4AB56B,ATR 72,,,,,,,,Vienna,VIE,LOWW,,,,,,,Europe/Vienna,2025-05-15 20:30Z,2025-05-15 22:30+02:00,2025-05-15 20:56Z,2025-05-15 22:56+02:00,,,2025-05-15 20:57Z,2025-05-15 22:57+02:00,3,351-372,F24,,29,"Basic,Live",,,,,,,,,,,2025-05-15 21:40Z,2025-05-15 23:40+02:00,2025-05-15 22:00Z,2025-05-16 00:00+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 2654,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737,,,,,,,,Tenerife Island,TFS,GCTS,,,,,,,Atlantic/Canary,2025-05-14 17:25Z,2025-05-14 18:25+01:00,2025-05-14 17:17Z,2025-05-14 18:17+01:00,,,,,C,202-209,B22,,,"Basic,Live",,,,,,,,,,,2025-05-14 22:40Z,2025-05-15 00:40+02:00,2025-05-15 22:24Z,2025-05-16 00:24+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 7114,RYR7SB,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RZB,48C2A1,Boeing 737,,,,,,,,Luqa,MLA,LMML,,,,,,,Europe/Malta,2025-05-15 19:35Z,2025-05-15 21:35+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-15 22:10Z,2025-05-16 00:10+02:00,2025-05-15 22:29Z,2025-05-16 00:29+02:00,,,,,,,,,,"Basic,Live"
