direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,FR 2228,RYR8447,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RZE,48C2A4,Boeing 737,,,,,,,,Valencia,VLC,LEVC,,,,,,,Europe/Madrid,2025-04-29 18:20Z,2025-04-29 20:20+02:00,2025-04-29 18:24Z,2025-04-29 20:24+02:00,,,2025-04-29 18:40Z,2025-04-29 20:40+02:00,1,31-34,7,,,"Basic,Live",,,,,,,,,,,2025-04-29 21:20Z,2025-04-29 23:20+02:00,2025-04-30 21:23Z,2025-04-30 23:23+02:00,,,,,,,,,25,"Basic,Live"
arrival,W6 2068,WZZ976,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WNJ,4D2536,Airbus A321 NEO,,,,,,,,Milan,MXP,LIMC,,,,,,,Europe/Rome,2025-04-29 20:00Z,2025-04-29 22:00+02:00,2025-04-29 20:18Z,2025-04-29 22:18+02:00,,,2025-04-29 20:18Z,2025-04-29 22:18+02:00,1,,,,35R,"Basic,Live",,,,,,,,,,,2025-04-29 21:55Z,2025-04-29 23:55+02:00,2025-04-30 21:48Z,2025-04-30 23:48+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 2092,WZZ677,Arrived,IsOperator,False,Wizz Air,W6,WZZ,HA-LXV,471F77,Airbus A320,,,,,,,,Lyon,LYS,LFLL,,,,,,,Europe/Paris,2025-04-29 19:45Z,2025-04-29 21:45+02:00,2025-04-29 19:55Z,2025-04-29 21:55+02:00,,,2025-04-29 20:05Z,2025-04-29 22:05+02:00,1,19-21,D07,,35L,"Basic,Live",,,,,,,,,,,2025-04-29 21:55Z,2025-04-29 23:55+02:00,2025-04-30 21:55Z,2025-04-30 23:55+02:00,,,,,,,,,25,"Basic,Live"
arrival,FR 6783,RYR4LX,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RKO,48C12E,Boeing 737-800,,,,,,,,Trieste,TRS,LIPQ,,,,,,,Europe/Rome,2025-04-29 21:00Z,2025-04-29 23:00+02:00,2025-04-29 21:00Z,2025-04-29 23:00+02:00,,,2025-04-29 21:00Z,2025-04-29 23:00+02:00,,,,,27,"Basic,Live",,,,,,,,,,,2025-04-29 22:30Z,2025-04-30 00:30+02:00,2025-04-30 22:08Z,2025-05-01 00:08+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 2778,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Thessaloniki,SKG,LGTS,,,,,,,Europe/Athens,2025-04-29 20:55Z,2025-04-29 23:55+03:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-04-29 22:55Z,2025-04-30 00:55+02:00,2025-04-30 22:31Z,2025-05-01 00:31+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 2725,RYR2AM,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RSD,48C223,Boeing 737,,,,,,,,Copenhagen,CPH,EKCH,,,,,,,Europe/Copenhagen,2025-04-30 20:35Z,2025-04-30 22:35+02:00,2025-04-30 20:35Z,2025-04-30 22:35+02:00,,,2025-04-30 21:29Z,2025-04-30 23:29+02:00,2,,F9,,04R,"Basic,Live",,,,,,,,,,,2025-04-30 22:10Z,2025-05-01 00:10+02:00,2025-04-30 22:36Z,2025-05-01 00:36+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 2965,RYR7LY,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RZS,48C2B1,Boeing 737,,,,,,,,Bari,BRI,LIBD,,,,,,,Europe/Rome,2025-04-29 21:00Z,2025-04-29 23:00+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-04-29 22:50Z,2025-04-30 00:50+02:00,2025-04-30 22:41Z,2025-05-01 00:41+02:00,,,,,,,,,25,"Basic,Live"
arrival,FR 888,RYR6RX,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RZP,48C2AF,Boeing 737-800,,,,,,,,Bergamo,BGY,LIME,,,,,,,Europe/Rome,2025-04-29 21:00Z,2025-04-29 23:00+02:00,2025-04-29 21:28Z,2025-04-29 23:28+02:00,,,2025-04-29 21:28Z,2025-04-29 23:28+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-04-29 22:45Z,2025-04-30 00:45+02:00,2025-04-30 22:46Z,2025-05-01 00:46+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 4626,RYR1T,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RSH,48C227,Boeing 737-800,,,,,,,,Stockholm,ARN,ESSA,,,,,,,Europe/Stockholm,2025-04-29 20:50Z,2025-04-29 22:50+02:00,2025-04-29 21:06Z,2025-04-29 23:06+02:00,,,2025-04-29 21:19Z,2025-04-29 23:19+02:00,4,403-408,C39,,,"Basic,Live",,,,,,,,,,,2025-04-29 22:45Z,2025-04-30 00:45+02:00,2025-04-30 22:49Z,2025-05-01 00:49+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 6233,RYR344D,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RZH,48C2A7,Boeing 737,,,,,,,,Palermo,PMO,LICJ,,,,,,,Europe/Rome,2025-04-29 20:30Z,2025-04-29 22:30+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-04-29 22:50Z,2025-04-30 00:50+02:00,2025-04-30 22:53Z,2025-05-01 00:53+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 4626,RYR1T,Arrived,IsOperator,False,Ryanair,FR,RYR,9H-QBH,4D2279,Boeing 737-800,,,,,,,,Stockholm,ARN,ESSA,,,,,,,Europe/Stockholm,2025-04-30 03:55Z,2025-04-30 05:55+02:00,2025-04-30 03:44Z,2025-04-30 05:44+02:00,,,2025-04-30 03:53Z,2025-04-30 05:53+02:00,4,403-408,C39,,,"Basic,Live",,,,,,,,,,,2025-04-30 05:50Z,2025-04-30 07:50+02:00,2025-05-01 05:22Z,2025-05-01 07:22+02:00,,,,,,,,,25,"Basic,Live"
arrival,FR 2762,RYR2762,Arrived,IsOperator,False,Ryanair,FR,RYR,EI-EBR,4CA73A,Boeing 737-800,,,,,,,,Copenhagen,CPH,EKCH,,,,,,,Europe/Copenhagen,2025-04-30 04:55Z,2025-04-30 06:55+02:00,2025-04-30 04:55Z,2025-04-30 06:55+02:00,,,2025-04-30 05:01Z,2025-04-30 07:01+02:00,2,,F9,,,"Basic,Live",,,,,,,,,,,2025-04-30 06:30Z,2025-04-30 08:30+02:00,2025-05-01 06:06Z,2025-05-01 08:06+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 1470,RYR6XZ,Arrived,IsOperator,False,Ryanair,FR,RYR,EI-IKC,4CAE91,Boeing 737,,,,,,,,Roma,CIA,LIRA,,,,,,,Europe/Rome,2025-04-30 04:30Z,2025-04-30 06:30+02:00,2025-04-30 04:30Z,2025-04-30 06:30+02:00,,,2025-04-30 04:34Z,2025-04-30 06:34+02:00,,,,,15,"Basic,Live",,,,,,,,,,,2025-04-30 06:25Z,2025-04-30 08:25+02:00,2025-05-01 06:10Z,2025-05-01 08:10+02:00,,,,,,,,,,"Basic,Live"
