direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,SN 2547,BEL8GP,Arrived,IsOperator,False,Brussels,SN,BEL,OO-SSO,44CE6F,Airbus A319,,,,,,,,Brussels,BRU,EBBR,,,,,,,Europe/Brussels,2025-05-07 13:25Z,2025-05-07 15:25+02:00,2025-05-07 13:52Z,2025-05-07 15:52+02:00,,,2025-05-07 13:53Z,2025-05-07 15:53+02:00,,05,,,07R,"Basic,Live",,,,,,,,,,,2025-05-07 15:20Z,2025-05-07 17:20+02:00,2025-05-08 15:20Z,2025-05-08 17:20+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 2004,WZZ2EQ,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WDI,4D248F,Airbus A320,,,,,,,,London,LTN,EGGW,,,,,,,Europe/London,2025-05-07 13:25Z,2025-05-07 14:25+01:00,2025-05-07 13:25Z,2025-05-07 14:25+01:00,,,,,,12-26,30,,,"Basic,Live",,,,,,,,,,,2025-05-07 15:50Z,2025-05-07 17:50+02:00,2025-05-08 15:44Z,2025-05-08 17:44+02:00,,,,,,,,,07,"Basic,Live"
arrival,FR 236,RYR9G,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RKC,48C122,Boeing 737-800,,,,,,,,Gdańsk,GDN,EPGD,,,,,,,Europe/Warsaw,2025-05-07 14:40Z,2025-05-07 16:40+02:00,2025-05-07 14:54Z,2025-05-07 16:54+02:00,,,2025-05-07 14:58Z,2025-05-07 16:58+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-07 15:55Z,2025-05-07 17:55+02:00,2025-05-08 15:47Z,2025-05-08 17:47+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 6735,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737,,,,,,,,Olbia,OLB,LIEO,,,,,,,Europe/Rome,2025-05-07 14:40Z,2025-05-07 16:40+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-07 16:50Z,2025-05-07 18:50+02:00,2025-05-08 16:39Z,2025-05-08 18:39+02:00,,,,,,,,,,"Basic,Live"
arrival,SPIZI,SPIZI,Arrived,IsOperator,False,Unknown/Private owner,,,SP-IZI,48A2A8,Embraer Phenom 100,,,,,,,,Munich,MUC,EDDM,,,,,,,Europe/Berlin,2025-05-08 15:54Z,2025-05-08 17:54+02:00,2025-05-08 15:54Z,2025-05-08 17:54+02:00,,,2025-05-08 15:54Z,2025-05-08 17:54+02:00,,,,,08R,"Basic,Live",,,,,,,,,,,2025-05-08 16:54Z,2025-05-08 18:54+02:00,2025-05-08 16:54Z,2025-05-08 18:54+02:00,,,2025-05-08 16:54Z,2025-05-08 18:54+02:00,,,,,07,"Basic,Live"
arrival,JU 158,ASL158,Arrived,IsOperator,False,Air Serbia,JU,ASL,YU-ALW,4C0176,ATR 72,,,,,,,,Belgrade,BEG,LYBE,,,,,,,Europe/Belgrade,2025-05-07 15:50Z,2025-05-07 17:50+02:00,2025-05-07 16:00Z,2025-05-07 18:00+02:00,,,,,2,,C10A,,,"Basic,Live",,,,,,,,,,,2025-05-07 17:50Z,2025-05-07 19:50+02:00,2025-05-08 17:24Z,2025-05-08 19:24+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 3327,RYR2XL,Arrived,IsOperator,False,Ryanair,FR,RYR,EI-IJG,4CAE57,Boeing 737-800,,,,,,,,Limerick city,SNN,EINN,,,,,,,Europe/Dublin,2025-05-07 14:45Z,2025-05-07 15:45+01:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-07 17:45Z,2025-05-07 19:45+02:00,2025-05-08 17:38Z,2025-05-08 19:38+02:00,,,2025-05-07 17:37Z,2025-05-07 19:37+02:00,,,,,07,"Basic,Live"
arrival,FR 82,RYR81NE,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RSH,48C227,Boeing 737,,,,,,,,Roma,CIA,LIRA,,,,,,,Europe/Rome,2025-05-07 16:10Z,2025-05-07 18:10+02:00,2025-05-07 16:10Z,2025-05-07 18:10+02:00,,,2025-05-07 16:21Z,2025-05-07 18:21+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-07 18:05Z,2025-05-07 20:05+02:00,2025-05-08 17:47Z,2025-05-08 19:47+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 7934,,Arrived,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737,,,,,,,,Podgorica,TGD,LYPG,,,,,,,Europe/Podgorica,2025-05-07 16:15Z,2025-05-07 18:15+02:00,2025-05-07 16:36Z,2025-05-07 18:36+02:00,,,,,,"C7E,C8E","G4,G3",,,"Basic,Live",,,,,,,,,,,2025-05-07 17:50Z,2025-05-07 19:50+02:00,2025-05-08 17:55Z,2025-05-08 19:55+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 3715,RYR3715,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RKK,48C129,Boeing 737-800,,,,,,,,Burgas,BOJ,LBBG,,,,,,,Europe/Sofia,2025-05-07 14:30Z,2025-05-07 17:30+03:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-07 16:20Z,2025-05-07 18:20+02:00,2025-05-08 18:07Z,2025-05-08 20:07+02:00,,,,,,,,,,"Basic,Live"
