direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,EN 8762,DLA9WY,Expected,IsOperator,False,Air Dolomiti,EN,DLA,I-ADJT,300564,Embraer 190,,,,,,,,Frankfurt-am-Main,FRA,EDDF,,,,,,,Europe/Berlin,2025-05-15 19:10Z,2025-05-15 21:10+02:00,2025-05-15 19:10Z,2025-05-15 21:10+02:00,,,2025-05-15 19:30Z,2025-05-15 21:30+02:00,1,259-335,B11,,07C,"Basic,Live",,,,,,,,,,,2025-05-15 20:45Z,2025-05-15 22:45+02:00,,,,,,,,,,,,Basic
arrival,LO 3879,LOT87M,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LIO,48AD0E,Embraer 175,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-15 20:45Z,2025-05-15 22:45+02:00,2025-05-15 20:45Z,2025-05-15 22:45+02:00,,,2025-05-15 20:56Z,2025-05-15 22:56+02:00,E-D,241-280,25,,29,"Basic,Live",,,,,,,,,,,2025-05-15 21:35Z,2025-05-15 23:35+02:00,2025-05-15 21:22Z,2025-05-15 23:22+02:00,,,2025-05-15 21:22Z,2025-05-15 23:22+02:00,C,,,,27,"Basic,Live"
arrival,FH 769,FHY769,Arrived,IsOperator,False,Freebird Airlines,FH,FHY,TC-FHL,4B990C,Airbus A320 NEO,,,,,,,,Antalya,AYT,LTAI,,,,,,,Europe/Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 21:27Z,2025-05-15 23:27+02:00,2025-05-15 21:27Z,2025-05-15 23:27+02:00,,,2025-05-15 21:27Z,2025-05-15 23:27+02:00,,,,,27,"Basic,Live"
arrival,W6 1252,,Unknown,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A320,,,,,,,,Larnarca,LCA,LCLK,,,,,,,Asia/Nicosia,2025-05-15 18:05Z,2025-05-15 21:05+03:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-15 21:35Z,2025-05-15 23:35+02:00,,,,,,,A,,,,,Basic
arrival,FR 3648,RYR3648,Approaching,IsOperator,False,Ryanair,FR,RYR,SP-RZN,48C2AD,Boeing 737 MAX 8,,,,,,,,Trapani,TPS,LICT,,,,,,,Europe/Rome,2025-05-15 19:15Z,2025-05-15 21:15+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-15 21:35Z,2025-05-15 23:35+02:00,2025-05-15 21:36Z,2025-05-15 23:36+02:00,,,,,A,,,,,"Basic,Live"
arrival,QU 9128,UTN9128,Arrived,IsOperator,False,Azur Air Ukraine,QU,UTN,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 22:41Z,2025-05-16 00:41+02:00,2025-05-15 22:41Z,2025-05-16 00:41+02:00,,,2025-05-15 22:41Z,2025-05-16 00:41+02:00,,,,,27,"Basic,Live"
arrival,AMQ 4015,AMQ4015,Arrived,IsOperator,False,AMQ,,,LZ-EAF,45213E,Airbus A320,,,,,,,,Bodrum,BJV,LTFE,,,,,,,Europe/Istanbul,2025-05-15 19:20Z,2025-05-15 22:20+03:00,2025-05-15 20:43Z,2025-05-15 23:43+03:00,,,,,,06-07,208B,,,"Basic,Live",,,,,,,,,,,2025-05-15 23:22Z,2025-05-16 01:22+02:00,2025-05-15 23:22Z,2025-05-16 01:22+02:00,,,2025-05-15 23:22Z,2025-05-16 01:22+02:00,,,,,27,"Basic,Live"
arrival,W6 1006,WZZ155T,Approaching,IsOperator,False,Wizz Air,W6,WZZ,9H-WZT,4D24C5,Airbus A320 (Sharklets),,,,,,,,London,LTN,EGGW,,,,,,,Europe/London,2025-05-15 20:55Z,2025-05-15 21:55+01:00,2025-05-15 20:55Z,2025-05-15 21:55+01:00,,,,,,,,,,"Basic,Live",,,,,,,,,,,2025-05-15 23:15Z,2025-05-16 01:15+02:00,2025-05-15 23:26Z,2025-05-16 01:26+02:00,,,,,A,,,,27,"Basic,Live"
arrival,QY 5914,BCS5914,Approaching,IsOperator,False,EAT Leipzig,QY,BCS,EC-NUG,347255,Boeing 737,,,,,,,,Leipzig,LEJ,EDDP,,,,,,,Europe/Berlin,2025-05-15 22:36Z,2025-05-16 00:36+02:00,2025-05-15 22:36Z,2025-05-16 00:36+02:00,,,2025-05-15 22:36Z,2025-05-16 00:36+02:00,,,,,26L,"Basic,Live",,,,,,,,,,,2025-05-15 23:27Z,2025-05-16 01:27+02:00,2025-05-15 23:27Z,2025-05-16 01:27+02:00,,,,,,,,,,"Basic,Live"
arrival,3Z 7111,TVP7111,Arrived,IsOperator,False,Smartwings Poland,3Z,TVP,HA-LKG,471E16,Boeing 737-800,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 23:59Z,2025-05-16 01:59+02:00,2025-05-15 23:59Z,2025-05-16 01:59+02:00,,,2025-05-15 23:59Z,2025-05-16 01:59+02:00,,,,,27,"Basic,Live"
