direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,LO 3879,,Expected,Unknown,False,LOT - Polish,LO,LOT,,,Embraer 175,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-04-30 20:45Z,2025-04-30 22:45+02:00,2025-04-30 20:45Z,2025-04-30 22:45+02:00,,,,,E-D,241-280,42,,,"Basic,Live",,,,,,,,,,,2025-04-30 21:35Z,2025-04-30 23:35+02:00,,,,,,,C,,,,,Basic
arrival,RR 7090,RYS7090,Arrived,IsOperator,False,Buzz (Ryanair Sun),RR,RYS,SP-RKP,48C12F,Boeing 737-800,,,,,,,,Palma De Mallorca,PMI,LEPA,,,,,,,Europe/Madrid,2025-04-30 19:10Z,2025-04-30 21:10+02:00,2025-04-30 19:07Z,2025-04-30 21:07+02:00,,,2025-04-30 19:17Z,2025-04-30 21:17+02:00,N,018-020,C62,,,"Basic,Live",,,,,,,,,,,2025-04-30 21:46Z,2025-04-30 23:46+02:00,2025-04-30 21:46Z,2025-04-30 23:46+02:00,,,2025-04-30 21:46Z,2025-04-30 23:46+02:00,,,,,27,"Basic,Live"
arrival,RR 7084,RYS7084,Arrived,IsOperator,False,Buzz (Ryanair Sun),RR,RYS,SP-RNE,48C1A4,Boeing 737-800,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-30 22:26Z,2025-05-01 00:26+02:00,2025-04-30 22:26Z,2025-05-01 00:26+02:00,,,2025-04-30 22:26Z,2025-05-01 00:26+02:00,,,,,27,"Basic,Live"
arrival,W6 1082,WZZ8NK,Approaching,IsOperator,False,Wizz Air,W6,WZZ,HA-LVP,471F3D,Airbus A321 NEO,,,,,,,,Tenerife Island,TFS,GCTS,,,,,,,Atlantic/Canary,2025-04-30 17:40Z,2025-04-30 18:40+01:00,2025-04-30 17:54Z,2025-04-30 18:54+01:00,,,,,A,18-20,B15,,,"Basic,Live",,,,,,,,,,,2025-04-30 22:55Z,2025-05-01 00:55+02:00,2025-04-30 22:38Z,2025-05-01 00:38+02:00,,,,,A,,,,,"Basic,Live"
arrival,FR 3408,RYR79WE,Approaching,IsOperator,False,Ryanair,FR,RYR,SP-RSZ,48C235,Boeing 737-800,,,,,,,,Bergamo,BGY,LIME,,,,,,,Europe/Rome,2025-04-30 21:20Z,2025-04-30 23:20+02:00,2025-04-30 21:26Z,2025-04-30 23:26+02:00,,,2025-04-30 21:26Z,2025-04-30 23:26+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-04-30 23:00Z,2025-05-01 01:00+02:00,2025-04-30 22:41Z,2025-05-01 00:41+02:00,,,,,A,,,,,"Basic,Live"
arrival,W6 1006,WZZ402,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-AEG,4D201D,Airbus A319,,,,,,,,London,LTN,EGGW,,,,,,,Europe/London,2025-04-30 20:55Z,2025-04-30 21:55+01:00,2025-04-30 20:55Z,2025-04-30 21:55+01:00,,,2025-04-30 21:47Z,2025-04-30 22:47+01:00,,12-26,,,,"Basic,Live",,,,,,,,,,,2025-04-30 23:15Z,2025-05-01 01:15+02:00,2025-04-30 23:45Z,2025-05-01 01:45+02:00,,,2025-04-30 23:45Z,2025-05-01 01:45+02:00,A,,,,27,"Basic,Live"
arrival,E4 4958,ENT4958,Arrived,IsOperator,False,Enter Air,E4,ENT,SP-ENV,4891B8,Boeing 737-800,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-01 02:49Z,2025-05-01 04:49+02:00,2025-05-01 02:49Z,2025-05-01 04:49+02:00,,,2025-05-01 02:49Z,2025-05-01 04:49+02:00,,,,,27,"Basic,Live"
arrival,E4 7928,ENT7928,Approaching,IsOperator,False,Enter Air,E4,ENT,SP-ESB,489221,Boeing 737-800,,,,,,,,Antalya,AYT,LTAI,,,,,,,Europe/Istanbul,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-01 02:54Z,2025-05-01 04:54+02:00,2025-05-01 02:54Z,2025-05-01 04:54+02:00,,,,,,,,,27,"Basic,Live"
arrival,3V 4463,TAY4463,Arrived,IsOperator,False,ASL Airlines Belgium,3V,TAY,OE-IXS,440201,Boeing 737-800,,,,,,,,Paris,CDG,LFPG,,,,,,,Europe/Paris,2025-05-01 02:21Z,2025-05-01 04:21+02:00,2025-05-01 02:21Z,2025-05-01 04:21+02:00,,,2025-05-01 02:21Z,2025-05-01 04:21+02:00,,,,,09R,"Basic,Live",,,,,,,,,,,2025-05-01 03:59Z,2025-05-01 05:59+02:00,2025-05-01 03:59Z,2025-05-01 05:59+02:00,,,2025-05-01 03:59Z,2025-05-01 05:59+02:00,,,,,27,"Basic,Live"
arrival,BJ 7692,,Unknown,Unknown,False,Nouvelair Tunisie,BJ,LBT,,,Airbus A320,,,,,,,,Houmt El Souk,DJE,DTTJ,,,,,,,Africa/Tunis,2025-05-01 01:55Z,2025-05-01 02:55+01:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-01 04:55Z,2025-05-01 06:55+02:00,,,,,,,,,,,,Basic
