direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,LO 3947,LOT3947,Approaching,IsOperator,False,LOT - Polish,LO,LOT,SP-LDI,489789,Embraer 170,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-08 14:45Z,2025-05-08 16:45+02:00,2025-05-08 14:45Z,2025-05-08 16:45+02:00,,,2025-05-08 15:03Z,2025-05-08 17:03+02:00,E-D,241-280,5,,29,"Basic,Live",,,,,,,,,,,2025-05-08 15:40Z,2025-05-08 17:40+02:00,2025-05-08 15:32Z,2025-05-08 17:32+02:00,,,,,,,,,28,"Basic,Live"
arrival,NE 4614,NMA4614,Arrived,IsOperator,False,Nesma Airlines,NE,NMA,SU-NMG,010236,Airbus A320,,,,,,,,Hurghada,HRG,HEGN,,,,,,,Africa/Cairo,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-08 16:50Z,2025-05-08 18:50+02:00,2025-05-08 16:50Z,2025-05-08 18:50+02:00,,,2025-05-08 16:50Z,2025-05-08 18:50+02:00,,,,,10,"Basic,Live"
arrival,FR 7247,RYR74CK,Approaching,IsOperator,False,Ryanair,FR,RYR,SP-RZI,48C2A8,Boeing 737 MAX 8,,,,,,,,Zadar,ZAD,LDZD,,,,,,,Europe/Zagreb,2025-05-08 14:20Z,2025-05-08 16:20+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-08 16:05Z,2025-05-08 18:05+02:00,2025-05-08 16:55Z,2025-05-08 18:55+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 7221,RYR95LF,Approaching,IsOperator,False,Ryanair,FR,RYR,9H-QDM,4D227D,Boeing 737-800,,,,,,,,Cagliari,CAG,LIEE,,,,,,,Europe/Rome,2025-05-08 15:30Z,2025-05-08 17:30+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-08 18:00Z,2025-05-08 20:00+02:00,2025-05-08 17:33Z,2025-05-08 19:33+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 5051,,Unknown,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Beauvais/Tillé,BVA,LFOB,,,,,,,Europe/Paris,2025-05-08 15:55Z,2025-05-08 17:55+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-08 17:50Z,2025-05-08 19:50+02:00,,,,,,,,,,,,Basic
arrival,FR 3593,RYR822T,Expected,IsOperator,False,Ryanair,FR,RYR,9H-QEU,4D23FD,Boeing 737,,,,,,,,Bergamo,BGY,LIME,,,,,,,Europe/Rome,2025-05-08 16:20Z,2025-05-08 18:20+02:00,2025-05-08 16:31Z,2025-05-08 18:31+02:00,,,2025-05-08 16:31Z,2025-05-08 18:31+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-08 18:05Z,2025-05-08 20:05+02:00,,,,,,,,,,,,Basic
arrival,SPSMZ,SPSMZ,Arrived,IsOperator,False,SPSMZ,,,,,,,,,,,,,Babimost,IEG,EPZG,,,,,,,Europe/Warsaw,2025-05-08 14:11Z,2025-05-08 16:11+02:00,2025-05-08 14:11Z,2025-05-08 16:11+02:00,,,2025-05-08 14:11Z,2025-05-08 16:11+02:00,,,,,24,"Basic,Live",,,,,,,,,,,2025-05-08 18:06Z,2025-05-08 20:06+02:00,2025-05-08 18:06Z,2025-05-08 20:06+02:00,,,2025-05-08 18:06Z,2025-05-08 20:06+02:00,,,,,,"Basic,Live"
arrival,FR 6214,RYR76RH,Expected,IsOperator,False,Ryanair,FR,RYR,EI-IJM,4CAE62,Boeing 737,,,,,,,,Málaga,AGP,LEMG,,,,,,,Europe/Madrid,2025-05-08 15:05Z,2025-05-08 17:05+02:00,2025-05-08 15:11Z,2025-05-08 17:11+02:00,,,2025-05-08 15:21Z,2025-05-08 17:21+02:00,PAX,363-374,D71,,,"Basic,Live",,,,,,,,,,,2025-05-08 18:40Z,2025-05-08 20:40+02:00,,,,,,,,,,,,Basic
arrival,E4 76TC,ENT76TC,Approaching,IsOperator,False,Enter Air,E4,ENT,SP-ESE,489224,Boeing 737-800,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-08 18:51Z,2025-05-08 20:51+02:00,2025-05-08 18:51Z,2025-05-08 20:51+02:00,,,,,,,,,10,"Basic,Live"
arrival,FR 5122,RYR48AC,Expected,IsOperator,False,Ryanair,FR,RYR,SP-RSI,48C228,Boeing 737-800,,,,,,,,Girona,GRO,LEGE,,,,,,,Europe/Madrid,2025-05-08 16:55Z,2025-05-08 18:55+02:00,2025-05-08 16:52Z,2025-05-08 18:52+02:00,,,2025-05-08 17:03Z,2025-05-08 19:03+02:00,1,28-33,9,,,"Basic,Live",,,,,,,,,,,2025-05-08 19:25Z,2025-05-08 21:25+02:00,,,,,,,,,,,,Basic
