direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,W6 1364,WZZ55LZ,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WNJ,4D2536,Airbus A321 NEO,,,,,,,,Bâle/Mulhouse,BSL,LFSB,,,,,,,Europe/Paris,2025-05-15 18:40Z,2025-05-15 20:40+02:00,2025-05-15 19:04Z,2025-05-15 21:04+02:00,,,2025-05-15 19:05Z,2025-05-15 21:05+02:00,,73-74,80,,33,"Basic,Live",,,,,,,,,,,2025-05-15 20:40Z,2025-05-15 22:40+02:00,2025-05-15 21:00Z,2025-05-15 23:00+02:00,,,2025-05-15 20:51Z,2025-05-15 22:51+02:00,,,,7,,"Basic,Live"
arrival,W6 1536,WZZ26MQ,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WNS,4D2020,Airbus A321 NEO,,,,,,,,Funchal,FNC,LPMA,,,,,,,Atlantic/Madeira,2025-05-15 15:55Z,2025-05-15 16:55+01:00,2025-05-15 16:04Z,2025-05-15 17:04+01:00,,,,,1,,,,,"Basic,Live",,,,,,,,,,,2025-05-15 20:55Z,2025-05-15 22:55+02:00,2025-05-15 21:05Z,2025-05-15 23:05+02:00,,,2025-05-15 20:57Z,2025-05-15 22:57+02:00,,,,6,33,"Basic,Live"
arrival,W6 1434,WZZ9100,Arrived,IsOperator,False,Wizz Air,W6,WZZ,HA-LXL,471F6D,Airbus A321,,,,,,,,Bergamo,BGY,LIME,,,,,,,Europe/Rome,2025-05-15 18:50Z,2025-05-15 20:50+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-15 20:50Z,2025-05-15 22:50+02:00,2025-05-15 21:05Z,2025-05-15 23:05+02:00,,,,,,,,5,33,"Basic,Live"
arrival,W6 1478,WZZ6366,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-GMT,4D204A,Airbus A320,,,,,,,,Barcelona,BCN,LEBL,,,,,,,Europe/Madrid,2025-05-15 17:40Z,2025-05-15 19:40+02:00,2025-05-15 18:08Z,2025-05-15 20:08+02:00,,,2025-05-15 18:35Z,2025-05-15 20:35+02:00,2,B3-B7,U31,,25L,"Basic,Live",,,,,,,,,,,2025-05-15 20:45Z,2025-05-15 22:45+02:00,2025-05-15 21:15Z,2025-05-15 23:15+02:00,,,,,,,,8,,"Basic,Live"
arrival,W6 1444,WZZ80EX,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WAF,4D241A,Airbus A321,,,,,,,,Rome,FCO,LIRF,,,,,,,Europe/Rome,2025-05-15 18:45Z,2025-05-15 20:45+02:00,2025-05-15 19:21Z,2025-05-15 21:21+02:00,,,2025-05-15 19:21Z,2025-05-15 21:21+02:00,1,,,,25,"Basic,Live",,,,,,,,,,,2025-05-15 21:10Z,2025-05-15 23:10+02:00,2025-05-15 21:15Z,2025-05-15 23:15+02:00,,,,,,,,6,,"Basic,Live"
arrival,W6 1468,WZZ297T,Arrived,IsOperator,False,Wizz Air,W6,WZZ,HA-LXC,471F64,Airbus A320,,,,,,,,Pisa,PSA,LIRP,,,,,,,Europe/Rome,2025-05-15 18:50Z,2025-05-15 20:50+02:00,2025-05-15 19:21Z,2025-05-15 21:21+02:00,,,2025-05-15 19:21Z,2025-05-15 21:21+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-15 21:00Z,2025-05-15 23:00+02:00,2025-05-15 21:15Z,2025-05-15 23:15+02:00,,,,,,,,7,,"Basic,Live"
arrival,W6 1590,,Arrived,Unknown,False,Wizz Air,W6,WZZ,,,Airbus A320,,,,,,,,Luqa,MLA,LMML,,,,,,,Europe/Malta,2025-05-15 18:25Z,2025-05-15 20:25+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-15 21:20Z,2025-05-15 23:20+02:00,2025-05-15 21:15Z,2025-05-15 23:15+02:00,,,,,,,,8,,"Basic,Live"
arrival,LO 6198,LOT6198,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LVO,48AF0E,Boeing 737 MAX 8,,,,,,,,Hurghada,HRG,HEGN,,,,,,,Africa/Cairo,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-15 21:05Z,2025-05-15 23:05+02:00,2025-05-15 21:20Z,2025-05-15 23:20+02:00,,,,,,,,1,,"Basic,Live"
arrival,W4 6387,WMT8GH,Arrived,IsOperator,False,Wizz Air Malta,W4,WMT,9H-WDK,4D2491,Airbus A320,,,,,,,,Milan,MXP,LIMC,,,,,,,Europe/Rome,2025-05-15 18:10Z,2025-05-15 20:10+02:00,2025-05-15 19:55Z,2025-05-15 21:55+02:00,,,2025-05-15 19:55Z,2025-05-15 21:55+02:00,,,,,35R,"Basic,Live",,,,,,,,,,,2025-05-15 20:20Z,2025-05-15 22:20+02:00,2025-05-15 21:35Z,2025-05-15 23:35+02:00,,,2025-05-15 21:36Z,2025-05-15 23:36+02:00,,,,7,33,"Basic,Live"
arrival,W6 1306,WZZ65ZL,Arrived,IsOperator,False,Wizz Air,W6,WZZ,HA-LXV,471F77,Airbus A321,,,,,,,,London,LTN,EGGW,,,,,,,Europe/London,2025-05-15 18:45Z,2025-05-15 19:45+01:00,2025-05-15 18:45Z,2025-05-15 19:45+01:00,,,2025-05-15 19:44Z,2025-05-15 20:44+01:00,,12-26,,,,"Basic,Live",,,,,,,,,,,2025-05-15 21:10Z,2025-05-15 23:10+02:00,2025-05-15 21:55Z,2025-05-15 23:55+02:00,,,,,,,,6,,"Basic,Live"
