direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,W6 1496,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A320,,,,,,,,Tenerife Island,TFS,GCTS,,,,,,,Atlantic/Canary,2025-04-30 15:30Z,2025-04-30 16:30+01:00,2025-04-30 16:37Z,2025-04-30 17:37+01:00,,,,,A,18-19,B14,,,"Basic,Live",,,,,,,,,,,2025-04-30 21:00Z,2025-04-30 23:00+02:00,2025-04-30 22:00Z,2025-05-01 00:00+02:00,,,,,,,,6,,"Basic,Live"
arrival,W6 1496,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A320,,,,,,,,Tenerife Island,TFS,GCTS,,,,,,,Atlantic/Canary,2025-04-30 15:30Z,2025-04-30 16:30+01:00,2025-04-30 16:37Z,2025-04-30 17:37+01:00,,,,,A,18-19,B14,,,"Basic,Live",,,,,,,,,,,2025-04-30 21:00Z,2025-04-30 23:00+02:00,2025-04-30 22:00Z,2025-05-01 00:00+02:00,,,,,,,,6,,"Basic,Live"
arrival,LO 80,LOT80,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LSG,48AE26,Boeing 787-9,,,,,,,,Tokyo,NRT,RJAA,,,,,,,Asia/Tokyo,2025-04-30 13:50Z,2025-04-30 22:50+09:00,2025-04-30 14:09Z,2025-04-30 23:09+09:00,,,2025-04-30 14:09Z,2025-04-30 23:09+09:00,1,,,,,"Basic,Live",,,,,,,,,,,2025-05-01 04:00Z,2025-05-01 06:00+02:00,2025-05-01 03:55Z,2025-05-01 05:55+02:00,,,,,,,,1,,"Basic,Live"
arrival,W6 1540,WZZ1546,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WNN,4D200E,Airbus A320,,,,,,,,Reykjavik,KEF,BIKF,,,,,,,Atlantic/Reykjavik,2025-04-30 23:40Z,2025-04-30 23:40+00:00,2025-05-01 00:11Z,2025-05-01 00:11+00:00,,,2025-05-01 00:25Z,2025-05-01 00:25+00:00,,,A15,,,"Basic,Live",,,,,,,,,,,2025-05-01 03:40Z,2025-05-01 05:40+02:00,2025-05-01 04:00Z,2025-05-01 06:00+02:00,,,,,,,,6,,"Basic,Live"
arrival,LO 794,,Arrived,IsOperator,False,LOT - Polish,LO,LOT,,,Embraer 175,,,,,,,,Riga,RIX,EVRA,,,,,,,Europe/Riga,2025-05-01 02:50Z,2025-05-01 05:50+03:00,2025-05-01 02:50Z,2025-05-01 05:50+03:00,,,,,B,,B6,,,"Basic,Live",,,,,,,,,,,2025-05-01 04:10Z,2025-05-01 06:10+02:00,2025-05-01 04:05Z,2025-05-01 06:05+02:00,,,,,,,,3,,"Basic,Live"
arrival,LO 148,,Arrived,IsOperator,False,LOT - Polish,LO,LOT,,,Boeing 737,,,,,,,,Cairo,CAI,HECA,,,,,,,Africa/Cairo,2025-05-01 00:10Z,2025-05-01 03:10+03:00,,,,,,,3,,,,,Basic,,,,,,,,,,,2025-05-01 04:10Z,2025-05-01 06:10+02:00,2025-05-01 04:05Z,2025-05-01 06:05+02:00,,,,,,,,2,,"Basic,Live"
arrival,LO 636,LOT636,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LIM,48AD0C,Embraer 175,,,,,,,,Sofia,SOF,LBSF,,,,,,,Europe/Sofia,2025-05-01 02:20Z,2025-05-01 05:20+03:00,2025-05-01 02:31Z,2025-05-01 05:31+03:00,,,2025-05-01 02:31Z,2025-05-01 05:31+03:00,2,,,,,"Basic,Live",,,,,,,,,,,2025-05-01 04:25Z,2025-05-01 06:25+02:00,2025-05-01 04:10Z,2025-05-01 06:10+02:00,,,,,,,,4,,"Basic,Live"
arrival,LO 728,LOT7LT,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LVS,48AF11,Boeing 737 MAX 8,,,,,,,,Yerevan,EVN,UDYZ,,,,,,,Asia/Yerevan,2025-05-01 00:20Z,2025-05-01 04:20+04:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-01 04:15Z,2025-05-01 06:15+02:00,2025-05-01 04:20Z,2025-05-01 06:20+02:00,,,2025-05-01 04:11Z,2025-05-01 06:11+02:00,,,,5,33,"Basic,Live"
arrival,LO 3910,LOT3910,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LEC,48AC82,Embraer 195,,,,,,,,Kraków,KRK,EPKK,,,,,,,Europe/Warsaw,2025-05-01 03:40Z,2025-05-01 05:40+02:00,2025-05-01 03:40Z,2025-05-01 05:40+02:00,,,2025-05-01 03:48Z,2025-05-01 05:48+02:00,,7-8,,,25,"Basic,Live",,,,,,,,,,,2025-05-01 04:30Z,2025-05-01 06:30+02:00,2025-05-01 04:20Z,2025-05-01 06:20+02:00,,,,,,,,4,,"Basic,Live"
arrival,LO 792,LOT792,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LEB,48AC81,Embraer 195,,,,,,,,Tallinn,TLL,EETN,,,,,,,Europe/Tallinn,2025-05-01 02:45Z,2025-05-01 05:45+03:00,2025-05-01 03:06Z,2025-05-01 06:06+03:00,,,2025-05-01 03:06Z,2025-05-01 06:06+03:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-01 04:25Z,2025-05-01 06:25+02:00,2025-05-01 04:20Z,2025-05-01 06:20+02:00,,,2025-05-01 04:14Z,2025-05-01 06:14+02:00,,,,2,33,"Basic,Live"
