direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,SPEMC,SPEMC,Arrived,IsOperator,False,Unknown/Private owner,,,SP-EMC,489182,Pilatus PC-12,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-08 15:04Z,2025-05-08 17:04+02:00,2025-05-08 15:04Z,2025-05-08 17:04+02:00,,,2025-05-08 15:04Z,2025-05-08 17:04+02:00,,,,,,"Basic,Live"
arrival,LO 6370,LOT67V,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LVO,48AF0E,Boeing 737 MAX 8,,,,,,,,Paphos,PFO,LCPH,,,,,,,Asia/Nicosia,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-08 15:10Z,2025-05-08 17:10+02:00,2025-05-08 15:05Z,2025-05-08 17:05+02:00,,,2025-05-08 14:59Z,2025-05-08 16:59+02:00,,,,1,33,"Basic,Live"
arrival,BA 850,BAW850T,Arrived,IsOperator,False,British,BA,BAW,G-TTNP,407B8F,Airbus A320 NEO,,,,,,,,London,LHR,EGLL,,,,,,,Europe/London,2025-05-08 12:40Z,2025-05-08 13:40+01:00,2025-05-08 13:02Z,2025-05-08 14:02+01:00,,,2025-05-08 13:03Z,2025-05-08 14:03+01:00,5,D,,,09R,"Basic,Live",,,,,,,,,,,2025-05-08 15:10Z,2025-05-08 17:10+02:00,2025-05-08 15:10Z,2025-05-08 17:10+02:00,,,2025-05-08 15:07Z,2025-05-08 17:07+02:00,,,,5,33,"Basic,Live"
arrival,W6 1354,WZZ577,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WDW,4D24D5,Airbus A321 NEO,,,,,,,,Paris,ORY,LFPO,,,,,,,Europe/Paris,2025-05-08 11:55Z,2025-05-08 13:55+02:00,2025-05-08 13:06Z,2025-05-08 15:06+02:00,,,2025-05-08 13:06Z,2025-05-08 15:06+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-08 14:10Z,2025-05-08 16:10+02:00,2025-05-08 15:10Z,2025-05-08 17:10+02:00,,,2025-05-08 14:58Z,2025-05-08 16:58+02:00,,,,8,33,"Basic,Live"
arrival,SN 2555,BEL5XD,Arrived,IsOperator,False,Brussels,SN,BEL,OO-SSX,44CE78,Airbus A319,,,,,,,,Brussels,BRU,EBBR,,,,,,,Europe/Brussels,2025-05-08 13:20Z,2025-05-08 15:20+02:00,2025-05-08 13:32Z,2025-05-08 15:32+02:00,,,2025-05-08 13:33Z,2025-05-08 15:33+02:00,,05,,,07R,"Basic,Live",,,,,,,,,,,2025-05-08 15:15Z,2025-05-08 17:15+02:00,2025-05-08 15:20Z,2025-05-08 17:20+02:00,,,,,,,,6,33,"Basic,Live"
arrival,W6 1516,WZZ104,Arrived,IsOperator,False,Wizz Air,W6,WZZ,HA-LXV,471F77,Airbus A321,,,,,,,,Torp,TRF,ENTO,,,,,,,Europe/Oslo,2025-05-08 13:45Z,2025-05-08 15:45+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-08 15:35Z,2025-05-08 17:35+02:00,2025-05-08 15:25Z,2025-05-08 17:25+02:00,,,,,,,,7,,"Basic,Live"
arrival,A3 872,AEE872,Arrived,IsOperator,False,Aegean,A3,AEE,SX-DVZ,4692DA,Airbus A321,,,,,,,,Athens,ATH,LGAV,,,,,,,Europe/Athens,2025-05-08 12:55Z,2025-05-08 15:55+03:00,2025-05-08 13:24Z,2025-05-08 16:24+03:00,,,2025-05-08 13:26Z,2025-05-08 16:26+03:00,4,102-126,B31,,,"Basic,Live",,,,,,,,,,,2025-05-08 15:30Z,2025-05-08 17:30+02:00,2025-05-08 15:35Z,2025-05-08 17:35+02:00,,,,,,,,6,,"Basic,Live"
arrival,W6 1372,WZZ53ZC,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WBU,4D245F,Airbus A320,,,,,,,,Eindhoven,EIN,EHEH,,,,,,,Europe/Amsterdam,2025-05-08 13:35Z,2025-05-08 15:35+02:00,2025-05-08 13:54Z,2025-05-08 15:54+02:00,,,2025-05-08 13:54Z,2025-05-08 15:54+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-08 15:25Z,2025-05-08 17:25+02:00,2025-05-08 15:35Z,2025-05-08 17:35+02:00,,,,,,,,4,,"Basic,Live"
arrival,LO 3938,LOT2JH,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LID,48AD03,Embraer 175,,,,,,,,Goleniów,SZZ,EPSC,,,,,,,Europe/Warsaw,2025-05-08 14:40Z,2025-05-08 16:40+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-08 15:45Z,2025-05-08 17:45+02:00,2025-05-08 15:35Z,2025-05-08 17:35+02:00,,,,,,,,3,,"Basic,Live"
arrival,LO 3808,LOT3808,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LIK,48AD09,Embraer 175,,,,,,,,Rzeszów,RZE,EPRZ,,,,,,,Europe/Warsaw,2025-05-08 14:45Z,2025-05-08 16:45+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-08 15:35Z,2025-05-08 17:35+02:00,2025-05-08 15:35Z,2025-05-08 17:35+02:00,,,,,,,,2,,"Basic,Live"
