direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,LO 3849,LOT2KH,Approaching,IsOperator,False,LOT - Polish,LO,LOT,SP-LEA,48AC80,Embraer 195,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-04-30 20:45Z,2025-04-30 22:45+02:00,2025-04-30 20:45Z,2025-04-30 22:45+02:00,,,2025-04-30 21:14Z,2025-04-30 23:14+02:00,E-D,241-280,31,,,"Basic,Live",,,,,,,,,,,2025-04-30 21:40Z,2025-04-30 23:40+02:00,2025-04-30 21:50Z,2025-04-30 23:50+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 8939,RYR830G,Approaching,IsOperator,False,Ryanair,FR,RYR,SP-RSM,48C22C,Boeing 737-800,,,,,,,,Souda,CHQ,LGSA,,,,,,,Europe/Athens,2025-04-30 18:55Z,2025-04-30 21:55+03:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-04-30 21:50Z,2025-04-30 23:50+02:00,2025-04-30 21:54Z,2025-04-30 23:54+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 1172,RYR9EF,Approaching,IsOperator,False,Ryanair,FR,RYR,SP-RZG,48C2A6,Boeing 737 MAX 8,,,,,,,,Limerick city,SNN,EINN,,,,,,,Europe/Dublin,2025-04-30 20:35Z,2025-04-30 21:35+01:00,2025-04-30 20:50Z,2025-04-30 21:50+01:00,,,2025-04-30 20:50Z,2025-04-30 21:50+01:00,,,,,,"Basic,Live",,,,,,,,,,,2025-04-30 23:15Z,2025-05-01 01:15+02:00,2025-04-30 23:03Z,2025-05-01 01:03+02:00,,,,,,,,,11,"Basic,Live"
arrival,FR 4317,RYR830G,Expected,IsOperator,False,Ryanair,FR,RYR,EI-IHP,4CADFC,Boeing 737,,,,,,,,Bologna,BLQ,LIPE,,,,,,,Europe/Rome,2025-05-01 03:55Z,2025-05-01 05:55+02:00,2025-05-01 04:05Z,2025-05-01 06:05+02:00,,,2025-05-01 04:05Z,2025-05-01 06:05+02:00,,,,,30,"Basic,Live",,,,,,,,,,,2025-05-01 05:40Z,2025-05-01 07:40+02:00,,,,,,,,,,,,Basic
arrival,LO 3851,LOT3KU,Approaching,IsOperator,False,LOT - Polish,LO,LOT,SP-LIN,48AD0D,Embraer 175,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-01 05:10Z,2025-05-01 07:10+02:00,2025-05-01 05:10Z,2025-05-01 07:10+02:00,,,2025-05-01 05:24Z,2025-05-01 07:24+02:00,E-D,241-280,3,,29,"Basic,Live",,,,,,,,,,,2025-05-01 06:05Z,2025-05-01 08:05+02:00,2025-05-01 05:55Z,2025-05-01 07:55+02:00,,,,,,,,,,"Basic,Live"
arrival,SM 3615,MSC3615,Arrived,IsOperator,False,Air Cairo,SM,MSC,SU-BUZ,01024D,Airbus A320 NEO,,,,,,,,Hurghada,HRG,HEGN,,,,,,,Africa/Cairo,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-01 06:21Z,2025-05-01 08:21+02:00,2025-05-01 06:21Z,2025-05-01 08:21+02:00,,,2025-05-01 06:21Z,2025-05-01 08:21+02:00,,,,,29,"Basic,Live"
arrival,FR 8407,RYR39WJ,Approaching,IsOperator,False,Ryanair,FR,RYR,EI-EVF,4CA9CD,Boeing 737-800,,,,,,,,London,STN,EGSS,,,,,,,Europe/London,2025-05-01 04:55Z,2025-05-01 05:55+01:00,2025-05-01 04:51Z,2025-05-01 05:51+01:00,,,2025-05-01 05:02Z,2025-05-01 06:02+01:00,1,,48,,04,"Basic,Live",,,,,,,,,,,2025-05-01 06:55Z,2025-05-01 08:55+02:00,2025-05-01 06:35Z,2025-05-01 08:35+02:00,,,,,,,,,,"Basic,Live"
arrival,BJ 7631,LBT7631,Expected,IsOperator,False,Nouvelair Tunisie,BJ,LBT,TS-ING,02A1A6,Airbus A320,,,,,,,,Poznań,POZ,EPPO,,,,,,,Europe/Warsaw,2025-05-01 05:50Z,2025-05-01 07:50+02:00,2025-05-01 06:15Z,2025-05-01 08:15+02:00,,,2025-05-01 06:15Z,2025-05-01 08:15+02:00,,,,,28,"Basic,Live",,,,,,,,,,,2025-05-01 06:40Z,2025-05-01 08:40+02:00,,,,,,,,,,,,Basic
arrival,BJ 7630,LBT7630,Unknown,IsOperator,False,Nouvelair Tunisie,BJ,LBT,TS-ING,02A1A6,Airbus A320,,,,,,,,Poznań,POZ,EPPO,,,,,,,Europe/Warsaw,2025-05-01 05:50Z,2025-05-01 07:50+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-01 06:40Z,2025-05-01 08:40+02:00,,,,,,,,,,,,Basic
arrival,FR 8032,RYR8559,Expected,IsOperator,False,Ryanair,FR,RYR,EI-IHR,4CADFD,Airbus A320,,,,,,,,Palma De Mallorca,PMI,LEPA,,,,,,,Europe/Madrid,2025-05-01 04:10Z,2025-05-01 06:10+02:00,2025-05-01 04:10Z,2025-05-01 06:10+02:00,,,2025-05-01 04:24Z,2025-05-01 06:24+02:00,N,008-017,C66,,,"Basic,Live",,,,,,,,,,,2025-05-01 06:55Z,2025-05-01 08:55+02:00,,,,,,,,,,,,Basic
