direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,LO 3847,LOT8NE,Expected,IsOperator,False,LOT - Polish,LO,LOT,SP-LNO,48ADAE,Embraer 175,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-08 14:35Z,2025-05-08 16:35+02:00,2025-05-08 14:35Z,2025-05-08 16:35+02:00,,,2025-05-08 15:06Z,2025-05-08 17:06+02:00,E-D,241-280,38,,29,"Basic,Live",,,,,,,,,,,2025-05-08 15:30Z,2025-05-08 17:30+02:00,,,,,,,,,,,,Basic
arrival,FR 9648,RYR77ZN,Expected,IsOperator,False,Ryanair,FR,RYR,SP-RZN,48C2AD,Boeing 737-800,,,,,,,,Liverpool,LPL,EGGP,,,,,,,Europe/London,2025-05-08 13:25Z,2025-05-08 14:25+01:00,2025-05-08 13:47Z,2025-05-08 14:47+01:00,,,2025-05-08 13:47Z,2025-05-08 14:47+01:00,,,,,09,"Basic,Live",,,,,,,,,,,2025-05-08 15:40Z,2025-05-08 17:40+02:00,,,,,,,,,,,,Basic
arrival,EN 8780,DLA9FC,Approaching,IsOperator,False,Air Dolomiti,EN,DLA,I-ADJN,3003AE,Embraer 195,,,,,,,,Frankfurt-am-Main,FRA,EDDF,,,,,,,Europe/Berlin,2025-05-08 14:55Z,2025-05-08 16:55+02:00,2025-05-08 14:55Z,2025-05-08 16:55+02:00,,,,,1,259-335,B5,,,"Basic,Live",,,,,,,,,,,2025-05-08 16:15Z,2025-05-08 18:15+02:00,2025-05-08 15:59Z,2025-05-08 17:59+02:00,,,,,,,,,,"Basic,Live"
arrival,LH 1374,,Unknown,Unknown,False,Lufthansa,LH,DLH,,,Embraer 190,,,,,,,,Frankfurt-am-Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-08 16:15Z,2025-05-08 18:15+02:00,,,,,,,,,,,,Basic
arrival,W6 1826,WZZ6262,Expected,IsOperator,False,Wizz Air,W6,WZZ,9H-MQT,4D2067,Airbus A320,,,,,,,,Eindhoven,EIN,EHEH,,,,,,,Europe/Amsterdam,2025-05-08 15:20Z,2025-05-08 17:20+02:00,2025-05-08 15:41Z,2025-05-08 17:41+02:00,,,2025-05-08 15:41Z,2025-05-08 17:41+02:00,,,,,,"Basic,Live",,,,,,,,,,,2025-05-08 16:50Z,2025-05-08 18:50+02:00,,,,,,,,,,,,Basic
arrival,SK 765,SAS765,Expected,IsOperator,False,SAS,SK,SAS,EI-GEA,4CACB0,Canadair CRJ 900,,,,,,,,Copenhagen,CPH,EKCH,,,,,,,Europe/Copenhagen,2025-05-08 15:40Z,2025-05-08 17:40+02:00,2025-05-08 15:40Z,2025-05-08 17:40+02:00,,,2025-05-08 16:01Z,2025-05-08 18:01+02:00,3,,E1,,22R,"Basic,Live",,,,,,,,,,,2025-05-08 16:55Z,2025-05-08 18:55+02:00,,,,,,,,,,,,Basic
arrival,FR 98,RYR5XP,Arrived,IsOperator,False,Ryanair,FR,RYR,9H-QAU,4D2269,Boeing 737-800,,,,,,,,Dublin,DUB,EIDW,,,,,,,Europe/Dublin,2025-05-08 15:20Z,2025-05-08 16:20+01:00,2025-05-08 15:20Z,2025-05-08 16:20+01:00,,,2025-05-08 15:28Z,2025-05-08 16:28+01:00,1,,,,,"Basic,Live",,,,,,,,,,,2025-05-08 17:50Z,2025-05-08 19:50+02:00,2025-05-08 17:40Z,2025-05-08 19:40+02:00,,,2025-05-08 17:40Z,2025-05-08 19:40+02:00,,,,,,"Basic,Live"
arrival,FR 5964,RYR7ZU,Approaching,IsOperator,False,Ryanair,FR,RYR,SP-RSG,48C226,Boeing 737-800,,,,,,,,Dubrovnik,DBV,LDDU,,,,,,,Europe/Zagreb,2025-05-08 15:50Z,2025-05-08 17:50+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-08 17:35Z,2025-05-08 19:35+02:00,2025-05-08 17:52Z,2025-05-08 19:52+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 1881,RYR45UN,Approaching,IsOperator,False,Ryanair,FR,RYR,SP-RSZ,48C235,Boeing 737-800,,,,,,,,Treviso,TSF,LIPH,,,,,,,Europe/Rome,2025-05-08 16:40Z,2025-05-08 18:40+02:00,2025-05-08 16:43Z,2025-05-08 18:43+02:00,,,2025-05-08 16:43Z,2025-05-08 18:43+02:00,,,,,25,"Basic,Live",,,,,,,,,,,2025-05-08 18:15Z,2025-05-08 20:15+02:00,2025-05-08 17:54Z,2025-05-08 19:54+02:00,,,,,,,,,,"Basic,Live"
arrival,LO 3859,LOT3859,Expected,IsOperator,False,LOT - Polish,LO,LOT,SP-LDH,489788,Embraer 175,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-05-08 18:00Z,2025-05-08 20:00+02:00,2025-05-08 18:00Z,2025-05-08 20:00+02:00,,,,,E-D,241-280,30,,,"Basic,Live",,,,,,,,,,,2025-05-08 18:55Z,2025-05-08 20:55+02:00,,,,,,,,,,,,Basic
