flight_number,call_sign,status,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_model,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_timezone,departure_datetime,departure_datetime_revised,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_timezone,arrival_datetime,arrival_datetime_revised
FR 2228,RYR8447,Arrived,Ryanair,FR,RYR,SP-RZE,Boeing 737,Valencia,VLC,LEVC,Europe/Madrid,2025-04-29 18:20:00,2025-04-29 18:24:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 21:20:00,2025-04-30 21:23:00
W6 2068,WZZ976,Arrived,Wizz Air,W6,WZZ,9H-WNJ,Airbus A321 NEO,Milan,MXP,LIMC,Europe/Rome,2025-04-29 20:00:00,2025-04-29 20:18:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 21:55:00,2025-04-30 21:48:00
W6 2092,WZZ677,Arrived,Wizz Air,W6,WZZ,HA-LXV,Airbus A320,Lyon,LYS,LFLL,Europe/Paris,2025-04-29 19:45:00,2025-04-29 19:55:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 21:55:00,2025-04-30 21:55:00
FR 6783,RYR4LX,Arrived,Ryanair,FR,RYR,SP-RKO,Boeing 737-800,Trieste,TRS,LIPQ,Europe/Rome,2025-04-29 21:00:00,2025-04-29 21:00:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 22:30:00,2025-04-30 22:08:00
FR 2778,,Arrived,Ryanair,FR,RYR,,Boeing 737-800,Thessaloniki,SKG,LGTS,Europe/Athens,2025-04-29 20:55:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 22:55:00,2025-04-30 22:31:00
FR 2725,RYR2AM,Arrived,Ryanair,FR,RYR,SP-RSD,Boeing 737,Copenhagen,CPH,EKCH,Europe/Copenhagen,2025-04-30 20:35:00,2025-04-30 20:35:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 22:10:00,2025-04-30 22:36:00
FR 2965,RYR7LY,Arrived,Ryanair,FR,RYR,SP-RZS,Boeing 737,Bari,BRI,LIBD,Europe/Rome,2025-04-29 21:00:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 22:50:00,2025-04-30 22:41:00
FR 888,RYR6RX,Arrived,Ryanair,FR,RYR,SP-RZP,Boeing 737-800,Bergamo,BGY,LIME,Europe/Rome,2025-04-29 21:00:00,2025-04-29 21:28:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 22:45:00,2025-04-30 22:46:00
FR 4626,RYR1T,Arrived,Ryanair,FR,RYR,SP-RSH,Boeing 737-800,Stockholm,ARN,ESSA,Europe/Stockholm,2025-04-29 20:50:00,2025-04-29 21:06:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 22:45:00,2025-04-30 22:49:00
FR 6233,RYR344D,Arrived,Ryanair,FR,RYR,SP-RZH,Boeing 737,Palermo,PMO,LICJ,Europe/Rome,2025-04-29 20:30:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-29 22:50:00,2025-04-30 22:53:00
FR 4626,RYR1T,Arrived,Ryanair,FR,RYR,9H-QBH,Boeing 737-800,Stockholm,ARN,ESSA,Europe/Stockholm,2025-04-30 03:55:00,2025-04-30 03:44:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 05:50:00,2025-05-01 05:22:00
FR 2762,RYR2762,Arrived,Ryanair,FR,RYR,EI-EBR,Boeing 737-800,Copenhagen,CPH,EKCH,Europe/Copenhagen,2025-04-30 04:55:00,2025-04-30 04:55:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 06:30:00,2025-05-01 06:06:00
FR 1470,RYR6XZ,Arrived,Ryanair,FR,RYR,EI-IKC,Boeing 737,Roma,CIA,LIRA,Europe/Rome,2025-04-30 04:30:00,2025-04-30 04:30:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 06:25:00,2025-05-01 06:10:00
FR 3698,RYR32UE,Arrived,Ryanair,FR,RYR,EI-EVX,Boeing 737,Beauvais/Tillé,BVA,LFOB,Europe/Paris,2025-04-30 04:30:00,2025-04-30 04:37:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 06:40:00,2025-05-01 06:28:00
TK 1271,THY1271,Arrived,Turkish,TK,THY,TC-JZE,Boeing 737-900,Istanbul,IST,LTFM,Europe/Istanbul,2025-04-30 04:30:00,2025-04-30 04:30:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 06:45:00,2025-05-01 06:31:00
FR 2228,RYR8447,Arrived,Ryanair,FR,RYR,EI-EVG,Boeing 737-800,Valencia,VLC,LEVC,Europe/Madrid,2025-04-30 03:50:00,2025-04-30 03:49:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 06:50:00,2025-05-01 06:39:00
LX 1370,SWR961M,Arrived,SWISS,LX,SWR,HB-AZL,Embraer 195,Zurich,ZRH,LSZH,Europe/Zurich,2025-04-30 04:55:00,2025-04-30 05:19:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 06:35:00,2025-05-01 06:42:00
DY 1028,NOZ28V,Arrived,Norwegian Air Shuttle,DY,NOZ,LN-ENT,Boeing 737-800,Bergen,BGO,ENBR,Europe/Oslo,2025-04-30 05:00:00,2025-04-30 04:55:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 07:20:00,2025-05-01 06:50:00
FR 4934,RYR97RG,Arrived,Ryanair,FR,RYR,9H-QBE,Boeing 737-800,Brussels,CRL,EBCI,Europe/Brussels,2025-04-30 05:20:00,2025-04-30 05:24:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 07:20:00,2025-05-01 07:00:00
FR 9950,RYR24LY,Arrived,Ryanair,FR,RYR,9H-QEL,Boeing 737-800,Toulouse-Blagnac,TLS,LFBO,Europe/Paris,2025-04-30 05:25:00,2025-04-30 05:34:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-04-30 07:55:00,2025-05-01 07:48:00
