direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,PC 6271,,Arrived,IsOperator,False,Pegasus,PC,PGT,,,,,,,,,,,Antalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-30 21:45Z,2025-04-30 23:45+02:00,2025-04-30 21:31Z,2025-04-30 23:31+02:00,,,,,,,,,,"Basic,Live"
arrival,SK 753,SAS753,Arrived,IsOperator,False,SAS,SK,SAS,EI-SIM,4CAD40,Airbus A320 NEO,,,,,,,,Copenhagen,CPH,EKCH,,,,,,,Europe/Copenhagen,2025-04-30 21:00Z,2025-04-30 23:00+02:00,2025-04-30 21:05Z,2025-04-30 23:05+02:00,,,2025-04-30 21:22Z,2025-04-30 23:22+02:00,3,,D1,,04R,"Basic,Live",,,,,,,,,,,2025-04-30 21:59Z,2025-04-30 23:59+02:00,2025-04-30 21:51Z,2025-04-30 23:51+02:00,,,,,,,,,,"Basic,Live"
arrival,LO 3827,LOT3827,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LNF,48ADA5,Embraer 195,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-04-30 20:55Z,2025-04-30 22:55+02:00,2025-04-30 20:55Z,2025-04-30 22:55+02:00,,,,,E-D,241-280,4,,,"Basic,Live",,,,,,,,,,,2025-04-30 21:50Z,2025-04-30 23:50+02:00,2025-04-30 21:55Z,2025-04-30 23:55+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1742,,Delayed,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,Kopenhaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-30 21:10Z,2025-04-30 23:10+02:00,2025-04-30 21:57Z,2025-04-30 23:57+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1608,WZZ48HY,Arrived,IsOperator,False,Wizz Air,W6,WZZ,9H-WNK,4D2007,Airbus A321,,,,,,,,London,LTN,EGGW,,,,,,,Europe/London,2025-04-30 20:20Z,2025-04-30 21:20+01:00,2025-04-30 20:20Z,2025-04-30 21:20+01:00,,,2025-04-30 21:37Z,2025-04-30 22:37+01:00,,12-26,,,,"Basic,Live",,,,,,,,,,,2025-04-30 22:35Z,2025-05-01 00:35+02:00,2025-04-30 22:25Z,2025-05-01 00:25+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1716,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A320,,,,,,,,Madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-30 23:05Z,2025-05-01 01:05+02:00,2025-04-30 22:37Z,2025-05-01 00:37+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1700,WZZ59GS,Arrived,IsOperator,False,Wizz Air,W6,WZZ,HA-LXW,471F78,Airbus A320,,,,,,,,Rome,FCO,LIRF,,,,,,,Europe/Rome,2025-04-30 20:20Z,2025-04-30 22:20+02:00,2025-04-30 20:38Z,2025-04-30 22:38+02:00,,,2025-04-30 20:38Z,2025-04-30 22:38+02:00,1,,,,25,"Basic,Live",,,,,,,,,,,2025-04-30 23:00Z,2025-05-01 01:00+02:00,2025-04-30 22:46Z,2025-05-01 00:46+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1774,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,Reykjavik Keflavik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-30 23:05Z,2025-05-01 01:05+02:00,2025-04-30 23:05Z,2025-05-01 01:05+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1706,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,Barcelona El Prat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-30 23:30Z,2025-05-01 01:30+02:00,2025-04-30 23:08Z,2025-05-01 01:08+02:00,,,,,,,,,,"Basic,Live"
arrival,W6 1614,,Arrived,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A321,,,,,,,,Málaga,AGP,LEMG,,,,,,,Europe/Madrid,2025-04-30 19:40Z,2025-04-30 21:40+02:00,2025-04-30 19:43Z,2025-04-30 21:43+02:00,,,,,PAX,233-234,D50,,,"Basic,Live",,,,,,,,,,,2025-04-30 23:35Z,2025-05-01 01:35+02:00,2025-04-30 23:17Z,2025-05-01 01:17+02:00,,,,,,,,,,"Basic,Live"
