direction,flight_number,call_sign,status,codeshare_status,is_cargo,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_modeS,aircraft_model,aircraft_image_url,aircraft_image_web_url,aircraft_image_author,aircraft_image_title,aircraft_image_description,aircraft_image_license,aircraft_image_html_attributions,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_airport_local_code,departure_airport_short_name,departure_airport_municipality_name,departure_airport_lat,departure_airport_lon,departure_airport_country_code,departure_airport_time_zone,departure_scheduled_utc,departure_scheduled_local,departure_revised_utc,departure_revised_local,departure_predicted_utc,departure_predicted_local,departure_runway_utc,departure_runway_local,departure_terminal,departure_check_in_desk,departure_gate,departure_baggage_belt,departure_runway,departure_quality,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_airport_local_code,arrival_airport_short_name,arrival_airport_municipality_name,arrival_airport_lat,arrival_airport_lon,arrival_airport_country_code,arrival_airport_time_zone,arrival_scheduled_utc,arrival_scheduled_local,arrival_revised_utc,arrival_revised_local,arrival_predicted_utc,arrival_predicted_local,arrival_runway_utc,arrival_runway_local,arrival_terminal,arrival_check_in_desk,arrival_gate,arrival_baggage_belt,arrival_runway,arrival_quality
arrival,LO 3941,LOT9WK,Arrived,IsOperator,False,LOT - Polish,LO,LOT,SP-LDF,489786,Embraer 170,,,,,,,,Warsaw,WAW,EPWA,,,,,,,Europe/Warsaw,2025-04-30 20:35Z,2025-04-30 22:35+02:00,2025-04-30 20:35Z,2025-04-30 22:35+02:00,,,,,E-D,241-280,3,,,"Basic,Live",,,,,,,,,,,2025-04-30 21:30Z,2025-04-30 23:30+02:00,2025-04-30 21:34Z,2025-04-30 23:34+02:00,,,2025-04-30 21:34Z,2025-04-30 23:34+02:00,,,,,28,"Basic,Live"
arrival,SK 2755,SAS2755,Approaching,IsOperator,False,SAS,SK,SAS,EI-FPR,4CACA0,Canadair CRJ 900NG,,,,,,,,Copenhagen,CPH,EKCH,,,,,,,Europe/Copenhagen,2025-04-30 21:00Z,2025-04-30 23:00+02:00,2025-04-30 21:00Z,2025-04-30 23:00+02:00,,,,,3,,E4,,,"Basic,Live",,,,,,,,,,,2025-04-30 22:05Z,2025-05-01 00:05+02:00,2025-04-30 21:46Z,2025-04-30 23:46+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 7221,RYR95LF,Arrived,IsOperator,False,Ryanair,FR,RYR,SP-RKB,48C121,Boeing 737-800,,,,,,,,Cagliari,CAG,LIEE,,,,,,,Europe/Rome,2025-04-30 19:40Z,2025-04-30 21:40+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-04-30 22:10Z,2025-05-01 00:10+02:00,2025-04-30 22:08Z,2025-05-01 00:08+02:00,,,2025-04-30 22:08Z,2025-05-01 00:08+02:00,,,,,28,"Basic,Live"
arrival,FR 5122,RYR48AC,Expected,IsOperator,False,Ryanair,FR,RYR,SP-RZQ,48C2B9,Boeing 737,,,,,,,,Girona,GRO,LEGE,,,,,,,Europe/Madrid,2025-04-30 19:40Z,2025-04-30 21:40+02:00,2025-04-30 20:00Z,2025-04-30 22:00+02:00,,,2025-04-30 20:17Z,2025-04-30 22:17+02:00,1,28-33,9,,,"Basic,Live",,,,,,,,,,,2025-04-30 22:10Z,2025-05-01 00:10+02:00,,,,,,,,,,,,Basic
arrival,FR 5051,RYR6HZ,Approaching,IsOperator,False,Ryanair,FR,RYR,SP-RSP,48C22F,Boeing 737-800,,,,,,,,Beauvais/Tillé,BVA,LFOB,,,,,,,Europe/Paris,2025-04-30 20:50Z,2025-04-30 22:50+02:00,2025-04-30 20:52Z,2025-04-30 22:52+02:00,,,2025-04-30 20:52Z,2025-04-30 22:52+02:00,,,,,12,"Basic,Live",,,,,,,,,,,2025-04-30 22:45Z,2025-05-01 00:45+02:00,2025-04-30 22:20Z,2025-05-01 00:20+02:00,,,,,,,,,,"Basic,Live"
arrival,FR 3593,,Unknown,IsOperator,False,Ryanair,FR,RYR,,,Boeing 737-800,,,,,,,,Bergamo,BGY,LIME,,,,,,,Europe/Rome,2025-04-30 21:05Z,2025-04-30 23:05+02:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-04-30 22:50Z,2025-05-01 00:50+02:00,,,,,,,,,,,,Basic
arrival,BJ 7630,LBT7630,Approaching,IsOperator,False,Nouvelair Tunisie,BJ,LBT,TS-ING,02A1A6,Airbus A320,,,,,,,,Houmt El Souk,DJE,DTTJ,,,,,,,Africa/Tunis,2025-05-01 02:00Z,2025-05-01 03:00+01:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-01 05:05Z,2025-05-01 07:05+02:00,2025-05-01 05:13Z,2025-05-01 07:13+02:00,,,,,,,,,,"Basic,Live"
arrival,BJ 7444,LBT7444,Expected,IsOperator,False,Nouvelair Tunisie,BJ,LBT,TS-INQ,02A1B0,Airbus A320,,,,,,,,Monastir,MIR,DTMB,,,,,,,Africa/Tunis,2025-05-01 02:20Z,2025-05-01 03:20+01:00,2025-05-01 02:35Z,2025-05-01 03:35+01:00,,,,,,41,10,,,"Basic,Live",,,,,,,,,,,2025-05-01 05:15Z,2025-05-01 07:15+02:00,,,,,,,,,,,,Basic
arrival,W6 7941,,Unknown,IsOperator,False,Wizz Air,W6,WZZ,,,Airbus A320,,,,,,,,Kutaisi,KUT,UGKO,,,,,,,Asia/Tbilisi,2025-05-01 01:45Z,2025-05-01 05:45+04:00,,,,,,,,,,,,Basic,,,,,,,,,,,2025-05-01 05:40Z,2025-05-01 07:40+02:00,,,,,,,,,,,,Basic
arrival,FR 7172,RYR12MK,Expected,IsOperator,False,Ryanair,FR,RYR,EI-EKS,4CA812,Boeing 737-800,,,,,,,,Roma,CIA,LIRA,,,,,,,Europe/Rome,2025-05-01 04:05Z,2025-05-01 06:05+02:00,2025-05-01 04:05Z,2025-05-01 06:05+02:00,,,2025-05-01 04:15Z,2025-05-01 06:15+02:00,,,,,15,"Basic,Live",,,,,,,,,,,2025-05-01 06:10Z,2025-05-01 08:10+02:00,,,,,,,,,,,,Basic
